
Printing Results...

X1[18.041969] X2[9.095851] Y1[8.270686] Y2[16.888241]
C Kernel Output: 12.421566
ASM Kernel Output: 12.421566

X1[30.571475] X2[16.647953] Y1[-7.228177] Y2[-27.371134]
C Kernel Output: 24.486795
ASM Kernel Output: 24.486795

X1[26.483279] X2[26.204006] Y1[29.918977] Y2[19.567423]
C Kernel Output: 10.355321
ASM Kernel Output: 10.355321

X1[-15.833346] X2[25.403307] Y1[13.203068] Y2[27.891646]
C Kernel Output: 43.774603
ASM Kernel Output: 43.774603

X1[6.219324] X2[-14.632649] Y1[-18.010504] Y2[13.746130]
C Kernel Output: 37.990638
ASM Kernel Output: 37.990638

X1[23.464712] X2[25.442040] Y1[27.582927] Y2[10.458380]
C Kernel Output: 17.238328
ASM Kernel Output: 17.238328

X1[-1.137348] X2[-28.217071] Y1[-11.281162] Y2[-24.821993]
C Kernel Output: 30.276484
ASM Kernel Output: 30.276484

X1[-17.994873] X2[-24.758270] Y1[14.881693] Y2[-17.527693]
C Kernel Output: 33.107580
ASM Kernel Output: 33.107580

X1[24.612013] X2[-20.357805] Y1[29.955698] Y2[12.704429]
C Kernel Output: 48.165245
ASM Kernel Output: 48.165245

X1[-4.728541] X2[17.837449] Y1[-3.906365] Y2[-10.796188]
C Kernel Output: 23.594355
ASM Kernel Output: 23.594355


End
